"geo","year","EMP_TECH","DESI_AI","STEM_GRAD","GOV_RD","GDP_CAP","DIG_SKILLS","WAGE_EDU","Region","ln_GDP_CAP","ln_EMP_TECH"
"AT",2021,4.5,8.83,25,0.8,44580,63.33,NA,"West",10.7050406069399,1.50407739677627
"AT",2023,5.1,10.79,24.6,0.87,45670,64.68,NA,"West",10.729196906179,1.62924053973028
"BE",2021,5.7,10.32,16.4,0.74,42530,54.23,NA,"West",10.6579649882477,1.7404661748405
"BE",2023,5.5,13.81,17.2,0.66,44230,59.39,NA,"West",10.6971585708624,1.70474809223843
"BG",2021,4.5,3.29,16.5,0.23,10250,31.18,NA,"East",9.23503298456655,1.50407739677627
"BG",2023,5.1,3.62,16.4,0.23,10950,35.52,NA,"East",9.30109473524465,1.62924053973028
"CY",2021,3.9,2.59,10.5,0.43,27030,50.21,NA,"West",10.2047026392705,1.3609765531356
"CY",2023,6.1,4.67,12,0.44,29200,49.46,NA,"West",10.2819239882564,1.80828877117927
"CZ",2021,5.7,4.46,16,0.61,21830,59.69,NA,"East",9.99104044954399,1.7404661748405
"CZ",2023,5.4,5.9,16.1,0.51,21680,69.11,NA,"East",9.98414545555358,1.68639895357023
"DE",2021,5.4,10.56,24,1.1,43730,48.92,NA,"West",10.685789644407,1.68639895357023
"DE",2023,5.7,11.55,24.2,1.05,43450,52.22,NA,"West",10.6793661306935,1.7404661748405
"DK",2021,5.8,23.89,26.1,0.91,56780,68.65,NA,"West",10.946939430027,1.75785791755237
"DK",2023,6.4,15.17,26.9,0.88,56470,69.62,NA,"West",10.9414648026669,1.85629799036563
"EE",2021,6.5,2.77,19.6,0.69,22670,56.37,NA,"East",10.0287977435016,1.87180217690159
"EE",2023,6.5,5.19,17.2,0.88,21210,62.61,NA,"East",9.96222804755873,1.87180217690159
"EL",2021,3.2,2.61,20.1,0.84,17110,52.48,NA,"West",9.74741836688624,1.16315080980568
"EL",2023,3.4,3.98,23.1,0.57,18600,52.4,NA,"West",9.83091685970129,1.22377543162212
"ES",2021,4.1,7.67,23.4,0.61,25440,64.16,NA,"West",10.1440780174541,1.41098697371026
"ES",2023,4.4,9.18,23.5,0.6,27150,66.18,NA,"West",10.2091323253621,1.48160454092422
"FI",2021,6.3,15.79,25.6,0.9,43800,79.18,NA,"West",10.6873890963645,1.84054963339749
"FI",2023,6.7,15.1,28.8,0.86,43280,81.99,NA,"West",10.6754459135204,1.90210752639692
"FR",2021,4.6,6.67,29.6,0.7,36470,61.96,NA,"West",10.5042452838027,1.52605630349505
"FR",2023,4.6,5.88,27.6,0.65,37760,59.67,NA,"West",10.5390056202594,1.52605630349505
"HR",2021,3.6,8.74,22.6,0.71,14750,63.37,NA,"East",9.59899836176797,1.28093384546206
"HR",2023,4.7,7.89,22.1,0.68,16490,58.95,NA,"East",9.71050941555364,1.54756250871601
"HU",2021,6.4,2.98,13.8,0.45,15470,49.09,NA,"East",9.64665794356711,1.85629799036563
"HU",2023,6.2,3.68,15.9,0.31,16050,58.89,NA,"East",9.68346412855816,1.82454929205105
"IE",2021,10.2,7.88,40,0.21,87160,70.49,NA,"West",11.3755007890586,2.32238772029023
"IE",2023,10,8.01,39.5,0.2,87810,72.91,NA,"West",11.382930668354,2.30258509299405
"IT",2021,4,6.17,18.3,0.63,30760,45.6,NA,"West",10.3339704236196,1.38629436111989
"IT",2023,4.3,5.05,20.1,0.63,32640,45.75,NA,"West",10.393293809078,1.45861502269952
"LT",2021,4.3,4.45,19.5,0.31,19040,48.84,NA,"East",9.85429730834536,1.45861502269952
"LT",2023,4.9,4.86,18.1,0.38,19220,52.91,NA,"East",9.86370668252428,1.58923520511658
"LU",2021,5,13,4.9,0.66,107570,63.79,NA,"West",11.5858970774261,1.6094379124341
"LU",2023,5.9,14.45,6.1,0.62,102250,60.14,NA,"West",11.535176073905,1.77495235091167
"LV",2021,4.5,3.72,15.1,0.26,16580,50.8,NA,"East",9.71595242868929,1.50407739677627
"LV",2023,5.2,4.53,15.6,0.3,16770,45.34,NA,"East",9.72734685481725,1.64865862558738
"MT",2021,5.6,10.16,11.5,0.21,31420,61.23,NA,"West",10.3551999118096,1.7227665977411
"MT",2023,6.5,13.17,10.7,0.2,33380,63.02,NA,"West",10.4157121972158,1.87180217690159
"NL",2021,5.4,13.1,15.5,0.77,49490,78.94,NA,"West",10.8095259079459,1.68639895357023
"NL",2023,5.6,14.1,16.1,0.81,50660,82.7,NA,"West",10.8328919235557,1.7227665977411
"PL",2021,3.7,2.86,18.8,0.45,15380,42.93,NA,"East",9.64082324305964,1.30833281965018
"PL",2023,4.3,3.67,19.5,0.51,15950,44.3,NA,"East",9.67721410821299,1.45861502269952
"PT",2021,4.1,7.2,22.9,0.36,20390,55.31,NA,"West",9.9227998635685,1.41098697371026
"PT",2023,4.4,7.86,23.4,0.3,22130,55.97,NA,"West",10.0046894330451,1.48160454092422
"RO",2021,3.4,1.38,19.1,0.16,12130,27.82,NA,"East",9.4034370019381,1.22377543162212
"RO",2023,3.2,1.51,19,0.15,12970,27.73,NA,"East",9.47039427731049,1.16315080980568
"SE",2021,6.2,9.92,19.2,0.79,48300,66.6,NA,"West",10.7851868396407,1.82454929205105
"SE",2023,6.9,10.37,20.5,0.73,47960,66.44,NA,"West",10.7781226091414,1.93152141160321
"SI",2021,6.8,11.73,21.6,0.51,24040,49.67,NA,"East",10.0874743886491,1.91692261218206
"SI",2023,5.6,11.37,23.3,0.81,25120,46.7,NA,"East",10.1314196205821,1.7227665977411
